                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2154,                 1.3347,                 1.0325,                 0.2584,                0.27479,                0.19309,                0.11219,                 1.6154,                 1.0179,                0.94029,               0.008515,               0.008515,               0.008515
                     48,                 1.2173,                 1.3409,                 1.0364,                0.26268,                0.28634,                0.18946,                0.11351,                 1.6128,                 1.0057,                0.93729,               0.008482,               0.008482,               0.008482
                     49,                 1.2201,                 1.3408,                 1.0307,                 0.2545,                0.30755,                0.20256,                0.11977,                 1.6156,                0.99451,                0.93772,               0.008449,               0.008449,               0.008449
                     50,                 1.2107,                 1.3221,                 1.0294,                0.22796,                0.30363,                0.20375,                0.12124,                 1.5991,                  1.011,                0.93655,               0.008416,               0.008416,               0.008416
                     51,                  1.213,                 1.3311,                 1.0325,                0.42272,                 0.2125,                0.24793,                0.15646,                  1.586,                 1.0168,                0.93325,               0.008383,               0.008383,               0.008383
                     52,                  1.212,                 1.3255,                 1.0321,                0.18689,                0.24807,                0.18393,                0.10541,                 1.6053,                0.99797,                0.93988,                0.00835,                0.00835,                0.00835
                     53,                 1.2069,                 1.3329,                 1.0299,                0.18028,                0.24801,                0.20398,                0.12153,                 1.5978,                 1.0249,                0.93464,               0.008317,               0.008317,               0.008317
                     54,                  1.205,                 1.3182,                 1.0312,                0.36804,                0.20824,                 0.2756,                0.17611,                 1.6091,                 1.0086,                0.93632,               0.008284,               0.008284,               0.008284
                     55,                 1.2068,                 1.3239,                 1.0335,                0.20589,                0.31273,                0.23575,                0.15085,                 1.5817,                  1.007,                0.93266,               0.008251,               0.008251,               0.008251
                     56,                 1.1965,                 1.3283,                 1.0294,                0.27435,                 0.3146,                0.23429,                0.14271,                 1.5858,                 1.0302,                0.93029,               0.008218,               0.008218,               0.008218
                     57,                 1.2083,                 1.3255,                 1.0305,                0.22099,                0.31378,                0.19776,                0.11802,                 1.5877,                 1.0064,                0.92953,               0.008185,               0.008185,               0.008185
                     58,                 1.2008,                 1.3092,                 1.0277,                0.22823,                0.32664,                0.23563,                0.14326,                 1.5812,                0.99611,                0.93264,               0.008152,               0.008152,               0.008152
                     59,                 1.1998,                 1.3143,                 1.0249,                0.39616,                0.21661,                 0.1927,                0.11512,                 1.5789,                 0.9999,                0.93065,               0.008119,               0.008119,               0.008119
                     60,                 1.1987,                 1.3199,                 1.0246,                0.23617,                0.33171,                0.20777,                0.12572,                 1.5815,                0.99106,                0.92744,               0.008086,               0.008086,               0.008086
                     61,                 1.2007,                  1.305,                 1.0254,                0.23973,                0.34046,                0.20761,                0.12371,                 1.5764,                0.98331,                0.92662,               0.008053,               0.008053,               0.008053
                     62,                  1.196,                 1.3048,                 1.0265,                0.21827,                0.36087,                0.21039,                0.12759,                 1.5693,                  1.011,                0.92446,                0.00802,                0.00802,                0.00802
                     63,                 1.1923,                 1.3032,                 1.0267,                0.23107,                0.34209,                0.24837,                0.15971,                 1.5778,                 1.0067,                0.92988,               0.007987,               0.007987,               0.007987
                     64,                  1.203,                 1.3026,                 1.0235,                0.31916,                0.28706,                 0.2496,                0.15199,                 1.5769,                0.98167,                 0.9285,               0.007954,               0.007954,               0.007954
                     65,                 1.1889,                 1.3027,                 1.0278,                0.20088,                0.30469,                 0.2151,                0.13205,                 1.5731,                0.99066,                0.92587,               0.007921,               0.007921,               0.007921
                     66,                 1.1767,                 1.2971,                 1.0205,                0.26384,                0.30725,                 0.2473,                0.15777,                 1.5831,                0.99685,                0.93038,               0.007888,               0.007888,               0.007888
                     67,                 1.1893,                 1.3066,                 1.0244,                0.25414,                0.33998,                0.25672,                0.15648,                 1.5649,                0.98709,                0.92519,               0.007855,               0.007855,               0.007855
                     68,                 1.1912,                 1.2948,                 1.0225,                0.29379,                0.31691,                0.25078,                0.15745,                 1.5625,                0.97929,                0.92442,               0.007822,               0.007822,               0.007822
                     69,                 1.1871,                 1.2944,                 1.0248,                0.27855,                0.32586,                0.25217,                0.15611,                 1.5716,                0.97732,                0.92842,               0.007789,               0.007789,               0.007789
                     70,                 1.1847,                 1.2972,                 1.0198,                0.38564,                0.27702,                0.25021,                 0.1517,                 1.5707,                0.97916,                0.92695,               0.007756,               0.007756,               0.007756
                     71,                 1.1867,                    1.3,                 1.0267,                0.28431,                0.32292,                0.24569,                0.14961,                 1.5756,                0.99003,                0.92738,               0.007723,               0.007723,               0.007723
                     72,                  1.186,                 1.2959,                 1.0248,                0.34516,                0.29624,                0.24424,                0.14898,                 1.5659,                0.98423,                0.92192,                0.00769,                0.00769,                0.00769
                     73,                 1.1823,                 1.2879,                 1.0203,                0.32297,                0.30366,                 0.2471,                0.15118,                 1.5617,                0.97336,                0.92106,               0.007657,               0.007657,               0.007657
                     74,                 1.1845,                 1.2953,                 1.0234,                 0.2819,                  0.305,                0.25091,                 0.1525,                 1.5643,                0.96678,                 0.9236,               0.007624,               0.007624,               0.007624
                     75,                 1.1843,                 1.2819,                 1.0202,                0.32243,                  0.325,                0.25389,                0.15502,                 1.5575,                0.97149,                0.92479,               0.007591,               0.007591,               0.007591
                     76,                 1.1839,                 1.2822,                 1.0209,                0.27233,                0.33197,                0.26192,                0.16163,                 1.5574,                0.96515,                 0.9244,               0.007558,               0.007558,               0.007558
                     77,                 1.1837,                 1.2857,                 1.0217,                0.19164,                0.27903,                0.22407,                 0.1335,                 1.5557,                0.96505,                0.92268,               0.007525,               0.007525,               0.007525
                     78,                 1.1849,                 1.2854,                  1.018,                0.25999,                0.34209,                0.26514,                0.16064,                 1.5464,                0.95722,                0.92125,               0.007492,               0.007492,               0.007492
                     79,                 1.1809,                 1.2753,                 1.0208,                 0.2825,                0.34727,                0.26278,                0.16022,                  1.534,                0.94877,                0.91764,               0.007459,               0.007459,               0.007459
                     80,                 1.1714,                 1.2779,                 1.0183,                0.27153,                0.33717,                0.25429,                0.15591,                 1.5364,                0.95944,                0.91862,               0.007426,               0.007426,               0.007426
                     81,                 1.1798,                 1.2765,                 1.0231,                0.24028,                0.33817,                0.25482,                0.15604,                  1.533,                0.96843,                0.91719,               0.007393,               0.007393,               0.007393
                     82,                  1.165,                  1.285,                 1.0174,                0.23632,                0.33445,                 0.2575,                 0.1578,                 1.5281,                0.96287,                0.91732,                0.00736,                0.00736,                0.00736
                     83,                 1.1774,                 1.2735,                 1.0198,                0.22317,                0.32895,                0.21998,                0.13204,                  1.531,                0.96286,                0.91718,               0.007327,               0.007327,               0.007327
                     84,                 1.1727,                 1.2777,                 1.0149,                0.31692,                0.29861,                0.25041,                0.15368,                 1.5327,                0.96401,                0.91677,               0.007294,               0.007294,               0.007294
                     85,                 1.1733,                 1.2743,                 1.0191,                0.33959,                0.28003,                0.25266,                0.15507,                 1.5309,                0.95889,                0.91589,               0.007261,               0.007261,               0.007261
                     86,                 1.1677,                 1.2782,                 1.0175,                0.25542,                0.33579,                0.25629,                0.15988,                 1.5252,                0.95507,                0.91459,               0.007228,               0.007228,               0.007228
                     87,                 1.1691,                 1.2645,                 1.0185,                0.25372,                0.32484,                0.25668,                0.15977,                 1.5246,                0.95176,                0.91462,               0.007195,               0.007195,               0.007195
                     88,                 1.1645,                 1.2684,                 1.0175,                 0.2043,                0.32951,                0.22029,                0.13521,                  1.523,                0.95094,                0.91365,               0.007162,               0.007162,               0.007162
                     89,                 1.1668,                 1.2659,                 1.0168,                 0.2684,                0.33399,                0.25812,                0.16007,                 1.5311,                0.94392,                0.91786,               0.007129,               0.007129,               0.007129
                     90,                 1.1589,                 1.2587,                 1.0151,                0.25333,                0.33913,                0.26241,                0.16047,                 1.5334,                0.94475,                0.92035,               0.007096,               0.007096,               0.007096
                     91,                 1.1594,                 1.2597,                 1.0122,                0.23907,                0.34114,                0.26272,                0.16098,                 1.5341,                 0.9433,                0.92153,               0.007063,               0.007063,               0.007063
                     92,                 1.1634,                 1.2652,                 1.0174,                0.27383,                0.33207,                0.26279,                0.16003,                 1.5335,                0.94347,                0.92205,                0.00703,                0.00703,                0.00703
                     93,                 1.1646,                 1.2696,                 1.0189,                 0.2874,                 0.3313,                0.26006,                0.15963,                 1.5332,                0.94214,                0.92494,               0.006997,               0.006997,               0.006997
                     94,                 1.1582,                 1.2537,                  1.015,                0.28767,                0.31785,                0.25836,                0.15828,                 1.5304,                0.94577,                 0.9259,               0.006964,               0.006964,               0.006964
