                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.213,                 1.3185,                0.99407,                 0.3162,                0.30044,                0.25053,                0.15816,                 1.5479,                 1.0332,                0.91306,               0.005644,               0.005644,               0.005644
                     47,                 1.2145,                 1.3208,                0.99656,                  0.298,                0.37183,                0.27783,                0.18905,                  1.527,                0.99805,                0.90776,               0.005545,               0.005545,               0.005545
                     48,                 1.2199,                 1.3167,                0.99802,                0.37916,                 0.2166,                0.19719,                0.12166,                 1.5293,                  1.032,                0.91194,               0.005446,               0.005446,               0.005446
                     49,                 1.2058,                  1.311,                0.99043,                0.32871,                0.28955,                0.27731,                0.19594,                 1.5244,                 1.0089,                0.90856,               0.005347,               0.005347,               0.005347
                     50,                  1.216,                 1.3132,                0.99351,                0.37534,                0.21984,                0.21849,                 0.1397,                   1.52,                 1.0131,                0.90802,               0.005248,               0.005248,               0.005248
                     51,                  1.204,                 1.3044,                0.99046,                0.26807,                0.34817,                0.26121,                0.17573,                 1.5323,                0.98483,                0.90954,               0.005149,               0.005149,               0.005149
                     52,                 1.2123,                 1.3005,                0.99214,                 0.3582,                0.20413,                0.19052,                 0.1127,                 1.5173,                0.99793,                0.90772,                0.00505,                0.00505,                0.00505
                     53,                 1.2039,                 1.3028,                0.98849,                0.36905,                0.25319,                0.19524,                0.11367,                 1.5107,                 1.0088,                0.90651,               0.004951,               0.004951,               0.004951
                     54,                 1.2048,                 1.2926,                0.99162,                0.33281,                 0.2124,                0.19018,                0.11089,                 1.5235,                0.99175,                0.90734,               0.004852,               0.004852,               0.004852
                     55,                 1.1971,                 1.2994,                0.98824,                0.38191,                0.25007,                0.25451,                0.16275,                 1.5088,                 1.0046,                0.90444,               0.004753,               0.004753,               0.004753
                     56,                 1.1925,                 1.2927,                0.98498,                0.27738,                0.35697,                0.26275,                0.16615,                 1.5029,                0.98621,                0.90089,               0.004654,               0.004654,               0.004654
                     57,                  1.195,                 1.2812,                0.98883,                0.53951,                0.22966,                0.20752,                0.12314,                 1.5241,                0.99482,                0.90746,               0.004555,               0.004555,               0.004555
                     58,                 1.1873,                 1.2816,                0.98698,                0.43055,                0.21798,                0.23377,                0.13951,                  1.507,                0.96718,                0.90536,               0.004456,               0.004456,               0.004456
                     59,                 1.1888,                 1.2882,                0.98679,                0.56584,                0.17308,                 0.2227,                0.13534,                 1.4999,                0.99189,                0.90486,               0.004357,               0.004357,               0.004357
                     60,                 1.1852,                 1.2758,                0.98077,                0.53079,                0.18945,                0.23651,                0.14657,                 1.4979,                0.97365,                0.90373,               0.004258,               0.004258,               0.004258
                     61,                 1.1893,                 1.2733,                0.98358,                0.43151,                0.22172,                0.24779,                0.15753,                 1.4923,                0.95994,                0.90076,               0.004159,               0.004159,               0.004159
                     62,                 1.1929,                 1.2732,                0.98262,                0.40117,                0.22265,                0.25819,                0.16943,                 1.4939,                0.97962,                0.89916,                0.00406,                0.00406,                0.00406
                     63,                 1.1799,                 1.2717,                0.98346,                0.26997,                 0.3539,                 0.2686,                0.17557,                 1.5008,                0.96479,                0.90098,               0.003961,               0.003961,               0.003961
                     64,                 1.1807,                 1.2809,                0.98429,                0.49591,                0.23614,                0.25422,                0.16413,                 1.4894,                0.98524,                0.89903,               0.003862,               0.003862,               0.003862
                     65,                 1.1743,                 1.2722,                0.98115,                0.59574,                 0.2064,                0.21593,                0.13005,                  1.488,                0.97027,                0.89888,               0.003763,               0.003763,               0.003763
                     66,                 1.1796,                 1.2635,                0.98226,                0.27997,                0.35783,                 0.2732,                 0.1779,                 1.4867,                0.95476,                  0.899,               0.003664,               0.003664,               0.003664
                     67,                 1.1775,                 1.2562,                0.98228,                0.55807,                0.22245,                0.22326,                0.13817,                  1.493,                0.96104,                0.89904,               0.003565,               0.003565,               0.003565
                     68,                 1.1753,                 1.2581,                0.97851,                0.26483,                0.35632,                0.22439,                0.13704,                 1.4821,                0.96197,                0.89833,               0.003466,               0.003466,               0.003466
                     69,                 1.1665,                 1.2539,                0.98048,                 0.6016,                0.21179,                0.22666,                0.13555,                 1.4874,                0.95264,                0.89888,               0.003367,               0.003367,               0.003367
                     70,                 1.1688,                 1.2588,                0.97767,                 0.6148,                0.21793,                 0.2802,                0.18581,                 1.4899,                0.94968,                0.90214,               0.003268,               0.003268,               0.003268
                     71,                 1.1684,                 1.2538,                0.98005,                0.59056,                0.22745,                0.22313,                0.13825,                 1.4804,                0.94725,                 0.8989,               0.003169,               0.003169,               0.003169
                     72,                   1.16,                 1.2472,                 0.9742,                0.41192,                0.22548,                 0.2146,                0.12938,                 1.4785,                0.94741,                0.89808,                0.00307,                0.00307,                0.00307
                     73,                 1.1651,                 1.2517,                0.97755,                 0.4896,                0.21557,                0.28123,                0.17841,                 1.4731,                0.94387,                0.89633,               0.002971,               0.002971,               0.002971
                     74,                 1.1571,                 1.2423,                0.97629,                 0.4534,                0.22462,                 0.2304,                0.13876,                 1.4752,                0.94721,                 0.8959,               0.002872,               0.002872,               0.002872
                     75,                  1.161,                 1.2398,                0.97617,                0.41414,                 0.2511,                0.24624,                 0.1563,                  1.477,                0.94355,                0.89552,               0.002773,               0.002773,               0.002773
                     76,                 1.1621,                 1.2442,                0.97404,                0.47332,                0.25878,                 0.2385,                0.14881,                  1.471,                0.93506,                 0.8943,               0.002674,               0.002674,               0.002674
                     77,                 1.1547,                 1.2341,                0.97642,                0.59125,                0.23023,                0.27812,                0.18136,                 1.4666,                0.93614,                0.89384,               0.002575,               0.002575,               0.002575
                     78,                 1.1585,                 1.2323,                0.97592,                0.59423,                0.22733,                0.25509,                0.16136,                 1.4664,                0.93863,                0.89313,               0.002476,               0.002476,               0.002476
                     79,                 1.1583,                 1.2315,                0.97332,                0.63921,                0.20451,                0.25201,                  0.159,                 1.4697,                0.93868,                 0.8926,               0.002377,               0.002377,               0.002377
