                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.1486,                 1.1834,                 1.1872,                0.36848,                0.33458,                0.26527,                0.16445,                  1.398,                0.90076,                 1.0878,                0.00802,                0.00802,                0.00802
                     63,                 1.1526,                 1.1788,                 1.1853,                0.44204,                0.30552,                0.31448,                0.20778,                 1.3973,                0.89076,                 1.0883,               0.007987,               0.007987,               0.007987
                     64,                 1.1505,                 1.1788,                 1.1784,                0.44118,                0.38143,                0.34304,                0.22507,                 1.4002,                 0.8903,                 1.0883,               0.007954,               0.007954,               0.007954
                     65,                 1.1421,                 1.1827,                 1.1863,                0.25484,                0.39781,                0.30003,                0.19249,                 1.3998,                0.89764,                 1.0895,               0.007921,               0.007921,               0.007921
                     66,                 1.1365,                 1.1753,                 1.1789,                0.30738,                0.30521,                0.29331,                0.18262,                 1.3946,                0.89522,                 1.0894,               0.007888,               0.007888,               0.007888
                     67,                 1.1436,                 1.1819,                 1.1817,                0.50091,                0.31751,                0.28789,                0.18536,                 1.3846,                0.88196,                  1.085,               0.007855,               0.007855,               0.007855
                     68,                 1.1464,                 1.1722,                 1.1768,                0.29598,                0.35083,                0.28158,                0.17846,                 1.3888,                0.88255,                 1.0867,               0.007822,               0.007822,               0.007822
                     69,                 1.1425,                 1.1747,                 1.1823,                0.47194,                0.31819,                0.28223,                0.17901,                 1.3858,                0.87589,                 1.0854,               0.007789,               0.007789,               0.007789
                     70,                 1.1378,                 1.1732,                 1.1757,                0.48615,                0.30333,                 0.2886,                0.18083,                 1.3835,                0.87203,                 1.0847,               0.007756,               0.007756,               0.007756
                     71,                 1.1418,                 1.1724,                 1.1835,                0.47573,                 0.2561,                0.31457,                0.20711,                 1.3822,                0.87572,                 1.0833,               0.007723,               0.007723,               0.007723
                     72,                 1.1454,                 1.1724,                 1.1847,                0.46042,                0.33983,                0.31944,                0.21067,                 1.3815,                0.87683,                 1.0819,                0.00769,                0.00769,                0.00769
                     73,                 1.1368,                 1.1575,                 1.1737,                0.49317,                0.28559,                0.27683,                0.17795,                 1.3836,                0.87708,                  1.084,               0.007657,               0.007657,               0.007657
                     74,                 1.1369,                 1.1694,                  1.174,                0.50928,                0.28199,                0.27969,                0.18123,                 1.3888,                0.87903,                 1.0868,               0.007624,               0.007624,               0.007624
                     75,                 1.1325,                 1.1594,                 1.1723,                0.49953,                 0.2792,                0.27756,                0.17604,                 1.3864,                 0.8776,                 1.0873,               0.007591,               0.007591,               0.007591
                     76,                 1.1367,                 1.1519,                  1.173,                0.58314,                0.29704,                0.29344,                 0.1937,                 1.3792,                0.87261,                 1.0841,               0.007558,               0.007558,               0.007558
                     77,                 1.1357,                 1.1531,                 1.1726,                 0.5465,                0.31155,                0.29652,                0.19055,                 1.3808,                0.86903,                 1.0837,               0.007525,               0.007525,               0.007525
                     78,                 1.1383,                 1.1577,                 1.1742,                0.54901,                0.29875,                0.29681,                0.18961,                 1.3821,                0.86305,                 1.0848,               0.007492,               0.007492,               0.007492
                     79,                 1.1381,                  1.151,                 1.1782,                0.58933,                0.32141,                0.29878,                 0.1903,                 1.3828,                0.86111,                 1.0834,               0.007459,               0.007459,               0.007459
                     80,                 1.1358,                   1.15,                 1.1753,                0.37707,                0.35348,                0.30312,                0.19241,                 1.3887,                 0.8594,                 1.0881,               0.007426,               0.007426,               0.007426
                     81,                 1.1346,                 1.1451,                 1.1778,                0.56576,                0.30009,                 0.3047,                 0.1932,                  1.386,                0.85986,                 1.0852,               0.007393,               0.007393,               0.007393
                     82,                 1.1315,                 1.1556,                 1.1749,                0.54356,                 0.2923,                0.29774,                0.18764,                 1.3843,                0.86216,                 1.0853,                0.00736,                0.00736,                0.00736
                     83,                 1.1304,                 1.1416,                 1.1713,                0.53132,                0.30449,                 0.2985,                0.18993,                 1.3844,                0.85999,                 1.0854,               0.007327,               0.007327,               0.007327
                     84,                 1.1324,                 1.1481,                 1.1733,                0.57159,                 0.2835,                0.29355,                0.18729,                 1.3856,                0.85726,                 1.0844,               0.007294,               0.007294,               0.007294
                     85,                 1.1295,                  1.142,                 1.1718,                0.58286,                0.28475,                0.30686,                0.19904,                 1.3869,                0.85673,                 1.0845,               0.007261,               0.007261,               0.007261
                     86,                 1.1303,                 1.1503,                 1.1734,                  0.558,                0.28922,                0.31332,                0.20171,                  1.384,                0.85628,                 1.0853,               0.007228,               0.007228,               0.007228
                     87,                   1.13,                 1.1382,                  1.174,                0.55564,                0.32254,                0.32071,                0.20805,                 1.3821,                0.85101,                 1.0841,               0.007195,               0.007195,               0.007195
                     88,                  1.129,                 1.1369,                 1.1735,                0.57968,                 0.2966,                0.30912,                0.20018,                 1.3803,                 0.8476,                 1.0829,               0.007162,               0.007162,               0.007162
                     89,                 1.1257,                 1.1301,                 1.1691,                0.55259,                0.29237,                0.28879,                0.18475,                 1.3789,                0.85062,                 1.0827,               0.007129,               0.007129,               0.007129
                     90,                 1.1255,                 1.1345,                 1.1722,                  0.532,                0.29017,                0.29485,                0.18712,                  1.377,                 0.8487,                 1.0826,               0.007096,               0.007096,               0.007096
                     91,                 1.1226,                 1.1295,                 1.1656,                0.31941,                0.37387,                0.29719,                0.18763,                 1.3756,                0.84716,                 1.0811,               0.007063,               0.007063,               0.007063
                     92,                 1.1187,                 1.1315,                 1.1662,                0.50263,                0.30668,                0.29732,                0.18843,                 1.3786,                0.84165,                 1.0827,                0.00703,                0.00703,                0.00703
                     93,                 1.1274,                 1.1359,                 1.1737,                0.33823,                0.34642,                0.30798,                 0.1979,                 1.3739,                0.83915,                 1.0811,               0.006997,               0.006997,               0.006997
                     94,                 1.1178,                  1.123,                 1.1705,                0.33543,                0.34832,                0.31204,                0.19759,                 1.3736,                0.84214,                  1.081,               0.006964,               0.006964,               0.006964
                     95,                 1.1264,                 1.1289,                 1.1636,                0.35218,                0.34459,                0.31488,                0.20056,                 1.3735,                0.84345,                 1.0796,               0.006931,               0.006931,               0.006931
                     96,                 1.1223,                 1.1247,                 1.1671,                0.36573,                  0.356,                0.31945,                0.20338,                 1.3749,                0.84273,                 1.0801,               0.006898,               0.006898,               0.006898
                     97,                 1.1193,                  1.125,                 1.1666,                0.37006,                0.35951,                0.32101,                0.20667,                 1.3749,                 0.8425,                 1.0798,               0.006865,               0.006865,               0.006865
                     98,                 1.1136,                 1.1259,                 1.1699,                0.58715,                 0.3196,                 0.3182,                0.20565,                 1.3726,                0.83955,                 1.0795,               0.006832,               0.006832,               0.006832
                     99,                 1.1181,                 1.1224,                 1.1644,                0.62524,                0.31033,                0.31399,                0.19896,                 1.3735,                0.84121,                 1.0793,               0.006799,               0.006799,               0.006799
                    100,                 1.1234,                 1.1323,                 1.1728,                0.61696,                0.31235,                0.31563,                0.19875,                 1.3757,                0.83973,                 1.0801,               0.006766,               0.006766,               0.006766
                    101,                 1.1175,                 1.1232,                 1.1668,                 0.5976,                 0.3139,                0.31913,                0.20149,                  1.377,                0.83805,                 1.0802,               0.006733,               0.006733,               0.006733
                    102,                 1.1097,                 1.1127,                 1.1614,                0.35421,                 0.3665,                0.31088,                0.19692,                 1.3768,                0.83933,                   1.08,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.1116,                 1.1192,                 1.1649,                0.34944,                0.37127,                0.31606,                0.20031,                 1.3768,                0.83727,                 1.0804,               0.006667,               0.006667,               0.006667
                    104,                 1.1238,                 1.1198,                 1.1651,                0.38237,                 0.3581,                 0.3132,                0.20046,                 1.3748,                0.83788,                 1.0796,               0.006634,               0.006634,               0.006634
                    105,                 1.1169,                 1.1169,                 1.1652,                0.54722,                0.33785,                0.31225,                0.19897,                 1.3727,                0.83772,                 1.0787,               0.006601,               0.006601,               0.006601
                    106,                 1.1141,                 1.1117,                 1.1573,                0.57076,                0.33934,                0.30988,                0.19739,                 1.3708,                0.83927,                  1.078,               0.006568,               0.006568,               0.006568
                    107,                 1.1207,                 1.1104,                 1.1654,                0.57402,                 0.3394,                0.31602,                0.20225,                 1.3709,                 0.8382,                  1.078,               0.006535,               0.006535,               0.006535
                    108,                 1.1109,                 1.1142,                 1.1645,                0.57835,                0.33768,                0.31749,                0.20212,                 1.3698,                0.83674,                 1.0771,               0.006502,               0.006502,               0.006502
                    109,                 1.1166,                 1.1052,                 1.1607,                0.59413,                0.32984,                0.32703,                0.20838,                 1.3717,                  0.836,                  1.077,               0.006469,               0.006469,               0.006469
                    110,                 1.1237,                  1.113,                   1.17,                0.56524,                0.34164,                0.32643,                0.20566,                 1.3724,                0.83455,                 1.0772,               0.006436,               0.006436,               0.006436
                    111,                 1.1113,                 1.1025,                 1.1628,                0.56457,                0.34178,                0.33046,                0.20834,                 1.3734,                 0.8334,                 1.0781,               0.006403,               0.006403,               0.006403
                    112,                 1.1128,                 1.1059,                 1.1599,                0.56274,                0.34216,                0.33103,                 0.2086,                 1.3735,                0.83158,                 1.0784,                0.00637,                0.00637,                0.00637
                    113,                 1.1089,                 1.1013,                 1.1656,                0.55794,                 0.3437,                0.33195,                0.21038,                 1.3734,                0.83052,                 1.0783,               0.006337,               0.006337,               0.006337
                    114,                 1.1108,                 1.1105,                 1.1578,                0.39372,                0.34787,                0.33133,                0.20927,                 1.3737,                0.83067,                 1.0786,               0.006304,               0.006304,               0.006304
