                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1476,                 1.1745,                 1.1828,                0.51777,                 0.3847,                0.30762,                0.19626,                 1.3968,                0.88317,                 1.0934,               0.007822,               0.007822,               0.007822
                     69,                 1.1436,                 1.1779,                 1.1879,                0.49832,                0.39858,                0.30857,                0.19656,                 1.3963,                0.86725,                 1.0909,               0.007789,               0.007789,               0.007789
                     70,                 1.1381,                  1.176,                 1.1797,                0.28322,                0.45105,                0.35082,                0.23637,                 1.3959,                0.86252,                 1.0895,               0.007756,               0.007756,               0.007756
                     71,                 1.1456,                 1.1752,                 1.1896,                  0.363,                0.42129,                0.33884,                0.22496,                 1.3901,                0.87141,                 1.0878,               0.007723,               0.007723,               0.007723
                     72,                 1.1463,                 1.1749,                 1.1905,                0.29725,                0.43476,                0.32374,                0.20761,                 1.3919,                0.86682,                 1.0878,                0.00769,                0.00769,                0.00769
                     73,                 1.1364,                 1.1609,                 1.1777,                0.30609,                0.46767,                0.32546,                0.20837,                 1.3896,                0.86629,                 1.0878,               0.007657,               0.007657,               0.007657
                     74,                 1.1384,                 1.1685,                  1.179,                0.27794,                0.45126,                0.30155,                0.19138,                 1.3928,                0.86292,                 1.0897,               0.007624,               0.007624,               0.007624
                     75,                 1.1354,                 1.1639,                 1.1777,                0.32149,                0.42221,                0.30895,                0.19802,                 1.3904,                0.86758,                 1.0884,               0.007591,               0.007591,               0.007591
                     76,                  1.139,                 1.1564,                 1.1795,                0.37854,                0.51239,                0.34834,                0.23064,                 1.3828,                0.86041,                 1.0848,               0.007558,               0.007558,               0.007558
                     77,                 1.1381,                 1.1592,                 1.1791,                0.35553,                0.55357,                0.35327,                0.23235,                 1.3852,                0.86026,                 1.0877,               0.007525,               0.007525,               0.007525
                     78,                 1.1414,                 1.1597,                 1.1803,                0.35657,                0.53808,                0.34306,                0.22479,                 1.3882,                0.86291,                 1.0883,               0.007492,               0.007492,               0.007492
                     79,                  1.139,                 1.1555,                 1.1828,                 0.3273,                0.44491,                 0.3385,                0.22235,                 1.3876,                0.86088,                 1.0869,               0.007459,               0.007459,               0.007459
                     80,                 1.1374,                 1.1518,                 1.1806,                0.52981,                0.32833,                0.31422,                0.19847,                 1.3864,                0.86338,                 1.0888,               0.007426,               0.007426,               0.007426
                     81,                 1.1373,                 1.1502,                 1.1843,                0.52858,                0.35633,                0.31797,                 0.2007,                 1.3872,                0.85579,                 1.0894,               0.007393,               0.007393,               0.007393
                     82,                 1.1335,                  1.162,                 1.1806,                0.54592,                0.32195,                 0.3209,                0.20439,                 1.3883,                0.85651,                 1.0892,                0.00736,                0.00736,                0.00736
                     83,                  1.134,                 1.1447,                 1.1777,                 0.4925,                0.34593,                0.31021,                0.19868,                 1.3867,                0.85524,                 1.0883,               0.007327,               0.007327,               0.007327
                     84,                 1.1354,                 1.1525,                 1.1779,                0.29976,                 0.4201,                0.33209,                0.21388,                 1.3825,                0.85456,                 1.0872,               0.007294,               0.007294,               0.007294
                     85,                  1.133,                 1.1455,                 1.1774,                  0.323,                0.43337,                0.35201,                0.22742,                 1.3783,                0.85781,                 1.0858,               0.007261,               0.007261,               0.007261
                     86,                 1.1337,                 1.1535,                 1.1789,                0.28944,                0.43279,                0.32488,                0.20992,                 1.3821,                0.85778,                 1.0867,               0.007228,               0.007228,               0.007228
                     87,                 1.1335,                 1.1408,                 1.1796,                0.32871,                0.45157,                 0.3312,                0.21296,                 1.3831,                0.85652,                 1.0878,               0.007195,               0.007195,               0.007195
                     88,                 1.1301,                 1.1388,                 1.1791,                0.27533,                0.45615,                0.36072,                0.23679,                 1.3816,                0.85393,                 1.0878,               0.007162,               0.007162,               0.007162
                     89,                 1.1308,                 1.1337,                 1.1756,                0.52596,                0.35338,                0.35736,                0.23107,                 1.3786,                0.85165,                 1.0859,               0.007129,               0.007129,               0.007129
                     90,                 1.1265,                 1.1373,                 1.1764,                 0.5258,                 0.3415,                0.35174,                0.22808,                 1.3809,                0.85685,                 1.0881,               0.007096,               0.007096,               0.007096
                     91,                 1.1217,                 1.1379,                 1.1693,                 0.4814,                0.36576,                0.33034,                 0.2102,                 1.3818,                0.85572,                 1.0883,               0.007063,               0.007063,               0.007063
                     92,                 1.1245,                  1.136,                 1.1728,                0.49349,                0.34913,                0.33208,                0.21228,                 1.3803,                0.84865,                 1.0857,                0.00703,                0.00703,                0.00703
                     93,                 1.1281,                 1.1417,                 1.1799,                0.36533,                0.41599,                0.33626,                0.21504,                 1.3794,                0.84833,                  1.083,               0.006997,               0.006997,               0.006997
                     94,                 1.1206,                 1.1277,                 1.1755,                0.37173,                0.36818,                0.34616,                0.21964,                  1.377,                0.85158,                 1.0832,               0.006964,               0.006964,               0.006964
                     95,                 1.1276,                 1.1336,                  1.168,                0.48786,                 0.3615,                0.34678,                0.21972,                 1.3763,                0.85078,                 1.0844,               0.006931,               0.006931,               0.006931
                     96,                 1.1253,                 1.1285,                 1.1713,                0.57126,                0.34231,                0.36846,                0.23883,                  1.375,                0.85261,                 1.0824,               0.006898,               0.006898,               0.006898
                     97,                 1.1215,                 1.1294,                 1.1717,                0.56486,                0.33958,                0.37754,                0.24432,                 1.3744,                0.85024,                 1.0824,               0.006865,               0.006865,               0.006865
                     98,                 1.1138,                 1.1303,                 1.1744,                0.54234,                0.35991,                0.37774,                0.24481,                 1.3724,                 0.8507,                  1.082,               0.006832,               0.006832,               0.006832
                     99,                 1.1203,                 1.1285,                 1.1689,                0.51709,                0.37035,                0.37919,                0.24766,                 1.3709,                0.84735,                 1.0818,               0.006799,               0.006799,               0.006799
                    100,                 1.1261,                  1.134,                 1.1778,                0.53108,                0.37277,                0.38391,                0.25259,                 1.3714,                0.84412,                 1.0812,               0.006766,               0.006766,               0.006766
                    101,                 1.1224,                 1.1267,                 1.1724,                 0.5338,                0.37405,                0.38675,                0.25249,                 1.3704,                0.84185,                 1.0807,               0.006733,               0.006733,               0.006733
                    102,                 1.1111,                 1.1152,                 1.1652,                0.53997,                0.37762,                0.38428,                0.25185,                 1.3694,                 0.8404,                 1.0803,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.1137,                 1.1228,                 1.1698,                0.54604,                0.37871,                0.38827,                0.25561,                 1.3701,                 0.8385,                 1.0809,               0.006667,               0.006667,               0.006667
                    104,                 1.1267,                 1.1241,                 1.1705,                  0.541,                  0.409,                0.39154,                0.25942,                 1.3686,                0.83743,                 1.0803,               0.006634,               0.006634,               0.006634
                    105,                 1.1204,                   1.12,                 1.1715,                0.54588,                0.43049,                0.40364,                0.27032,                 1.3689,                0.83978,                 1.0811,               0.006601,               0.006601,               0.006601
                    106,                 1.1149,                 1.1137,                  1.162,                0.53212,                0.42965,                0.44249,                0.30455,                 1.3697,                0.84097,                 1.0822,               0.006568,               0.006568,               0.006568
                    107,                 1.1247,                 1.1171,                 1.1722,                0.44899,                0.45397,                0.41716,                0.28448,                 1.3711,                0.84109,                 1.0831,               0.006535,               0.006535,               0.006535
                    108,                  1.113,                 1.1205,                 1.1709,                0.42249,                0.53521,                0.41683,                0.28293,                 1.3717,                0.84004,                 1.0836,               0.006502,               0.006502,               0.006502
                    109,                 1.1198,                 1.1073,                 1.1668,                0.58224,                0.36816,                0.42204,                0.28689,                 1.3716,                 0.8404,                 1.0836,               0.006469,               0.006469,               0.006469
                    110,                 1.1251,                 1.1169,                  1.176,                0.59328,                 0.3712,                0.42304,                0.28804,                 1.3715,                0.84023,                 1.0832,               0.006436,               0.006436,               0.006436
                    111,                 1.1139,                 1.1063,                 1.1685,                0.58945,                0.37607,                0.42318,                0.28849,                 1.3718,                0.83821,                 1.0832,               0.006403,               0.006403,               0.006403
                    112,                 1.1154,                 1.1109,                 1.1659,                0.57554,                  0.373,                0.42223,                0.28754,                 1.3711,                0.83862,                 1.0832,                0.00637,                0.00637,                0.00637
